function,lineno,convergence_speed,nfe,best_fitness,best_solution,success,num_trials
parallel,12,11,24,0.0,[5],True,1
parallel,14,26,54,0.0,[10],True,1
parallel,16,36,74,0.0,[15],True,1
parallel,18,38,78,0.0,[20],True,1
parallel,20,27,40076,0.0,[np.int64(25)],True,1
parallel,22,31,50089,0.0,[np.int64(30)],True,1
parallel,24,28,58,0.0,[35],True,1
parallel,26,23,50073,0.0,[np.int64(40)],True,1
parallel,28,27,56,0.0,[45],True,1
parallel,30,13,28,0.0,[50],True,1
parallel,32,5,12,0.0,[55],True,1
parallel,34,6,14,0.0,[60],True,1
parallel,36,31,70099,0.0,[np.int64(65)],True,1
